98,Aeroexpreso Interamericano,\N,INTERAM,\N,AEI
99,Air Express,\N,KHAKI EXPRESS,\N,AEJ
100,Aerocon,\N,AEROCON,\N,AEK
101,Aero Madrid,\N,AEROMADRID,\N,AEM
102,Aeroenlaces Nacionales,\N,\N,\N,AEN
103,Aeroservicios Ejecutivos Del Occidente,\N,AERO OCCIDENTE,\N,AEO
104,Aerotec,\N,AEROTEC,\N,AEP
105,Air Atlantique,\N,ATLANTIC,KI,AAG
106,Air Europe,\N,AIR EUROPE,PE,AEL
107,Air Alma,\N,AIR ALMA,\N,AAJ
108,Air Express,\N,LUNA,\N,AEQ
109,Alaska Central Express,\N,ACE AIR,KO,AER
110,ACES Colombia,\N,ACES,\N,AES
111,Aeronautical Radio of Thailand,\N,AEROTHAI,\N,AET
112,Astraeus,\N,FLYSTAR,5W,AEU
113,Aeroventas,\N,AEROVENTAS,\N,AEV
114,Aerosvit Airlines,\N,AEROSVIT,VV,AEW
115,Airway Express,\N,AVCO,\N,AEX
116,Air Italy,\N,AIR ITALY,I9,AEY
117,Aerial Transit Company,\N,AERIAL TRANZ,\N,AEZ
118,Alfa Air,\N,BLUE ALFA,\N,AFA
119,American Falcon,\N,AMERICAN FALCON,WK,AFB
120,Alliance Airlines,\N,UNITY,QQ,UTY
121,Air Universal,\N,UNI-LEONE,\N,UVS
122,Auvia Air,\N,AUVIA,\N,UVT
123,African West Air,\N,AFRICAN WEST,\N,AFC
124,Airfast Indonesia,\N,AIRFAST,\N,AFE
125,Ariana Afghan Airlines,\N,ARIANA,FG,AFG
126,Air Fecteau,\N,FECTO,\N,AFH
127,Africaone,\N,AFRICAWORLD,\N,AFI
128,Alliance,\N,JAMBO,\N,AFJ
129,Africa Air Links,\N,AFRICA LINKS,\N,AFK
130,Aeroflot Russian Airlines,\N,AEROFLOT,SU,AFL
131,Aero Empresa Mexicana,\N,AERO EMPRESA,\N,AFO
132,Air Bosna,\N,AIR BOSNA,JA,BON
133,Air Bravo,\N,AIR BRAVO,\N,BRF
134,Air Brasd'or,\N,BRASD'OR,\N,BRL
135,Air 500,\N,BOOMERANG,\N,BRM
136,Alba Servizi Aerotrasporti,\N,ALBA,\N,AFQ
137,Air France,\N,AIRFRANS,AF,AFR
138,Air Partner,\N,AIR PARTNER,\N,ACG
139,Air Caledonie International,\N,AIRCALIN,SB,ACI
140,Air Caledonia,\N,WEST CAL,\N,ACM
141,Air Guam,\N,AIR GUAM,\N,AGM
142,Air Gabon,\N,GOLF NOVEMBER,GN,AGN
143,Air Data,\N,\N,\N,AFS
144,Air Afrique Vacancies,\N,AFRIQUE VACANCE,\N,AFV
145,Air Cargo America,\N,PEGASUS,\N,MVM
146,Air Salone,\N,\N,2O,\N
147,Air-Angol,\N,AIR ANGOL,\N,NGO
148,Air Nigeria,\N,REGAL EAGLE,\N,NGP
149,Air Cargo Carriers,\N,NIGHT CARGO,2Q,SNC
150,Air Samarkand,\N,ARSAM,\N,SND
151,Air Senegal International,\N,AIR SENEGAL,V7,SNG
152,Air Sandy,\N,AIR SANDY,\N,SNY
153,Air Namibia,\N,NAMIBIA,SW,NMB
154,Air Intersalonika,\N,INTERSALONIKA,\N,NSK
155,Air Anatolia,\N,AIR ANATOLIA,\N,NTL
156,Air Saigon,\N,AIR SAIGON,\N,SGA
157,Afrique Regional Airways,\N,AFRAIR,\N,AFW
158,Airfreight Express,\N, ,\N,AFX
159,Africa Chartered Services,\N,AFRICA CHARTERED,\N,AFY
